期次|开奖号码||||
150801107|9|1|2|6|3
150801108|4|7|1|8|9
150801109|1|5|3|6|8
150801110|9|2|1|9|3
150801111|0|6|7|1|6
150801112|5|6|6|1|3
150801113|5|7|8|1|8
150801114|4|6|5|7|5
150801115|8|7|0|9|7
150801116|7|9|3|8|6
150801117|3|4|3|1|8
150801118|0|2|4|6|7
150801119|6|1|8|8|0
150801120|0|0|8|2|9
150802001|7|4|3|0|3
150802002|8|1|9|9|5
150802003|6|1|5|1|7
150802004|2|7|0|5|3
150802005|4|2|7|8|4
150802006|6|8|4|7|1
150802007|1|4|6|1|4
150802008|1|9|0|5|0
150802009|3|1|5|4|6
150802010|9|1|1|5|4
150802011|4|7|0|1|0
150802012|9|2|2|5|0
150802013|0|1|6|2|0
150802014|0|8|9|9|7
150802015|3|5|8|3|7
150802016|1|0|2|7|2
150802017|5|5|3|4|5
150802018|6|3|7|8|1
150802019|5|8|3|7|9
150802020|0|8|6|3|7
150802021|4|0|7|0|8
150802022|9|5|6|3|4
150802023|1|3|0|0|4
150802024|9|5|1|7|9
150802025|8|6|7|6|9
150802026|1|8|7|0|7
150802027|5|4|7|5|4
150802028|3|1|1|8|4
150802029|1|5|5|7|1
150802030|9|8|6|8|7
150802031|5|7|1|6|6
150802032|9|4|9|7|8
150802033|1|9|0|1|1
150802034|7|8|0|1|3
150802035|5|8|7|6|2
150802036|6|5|9|6|4
150802037|6|8|9|7|5
150802038|1|2|9|2|4
150802039|4|6|1|2|2
150802040|4|1|8|5|2
150802041|8|2|2|0|5
150802042|3|8|1|9|6
150802043|2|2|0|6|2
150802044|8|0|6|0|4
150802045|8|5|6|7|5
150802046|4|5|0|3|9
150802047|0|1|6|5|5
150802048|5|7|0|7|1
150802049|4|9|4|4|9
150802050|1|5|9|2|2
150802051|1|3|5|6|5
150802052|6|7|9|7|0
150802053|1|9|6|9|7
150802054|2|4|1|9|8
150802055|9|8|4|6|1
150802056|3|2|9|5|6
150802057|5|4|0|6|4
150802058|4|4|8|9|0
150802059|6|0|7|9|4
150802060|6|3|6|0|0
150802061|9|3|9|2|3
150802062|7|8|9|6|8
150802063|6|8|9|8|1
150802064|8|9|6|9|8
150802065|3|2|5|2|5
150802066|0|4|7|6|4
150802067|2|8|7|9|3
150802068|4|8|8|8|5
150802069|6|3|9|3|1
150802070|3|4|6|6|0
150802071|6|1|9|0|6
150802072|6|4|8|9|5
150802073|1|9|7|8|5
150802074|8|8|8|5|6
150802075|2|4|9|1|0
150802076|9|7|0|7|1
150802077|2|5|5|2|9
150802078|8|5|0|8|5
150802079|7|0|6|0|7
150802080|3|3|2|3|8
150802081|5|8|5|3|1
150802082|2|0|0|5|1
150802083|3|0|5|3|4
150802084|8|5|3|6|2
150802085|9|8|8|8|8
150802086|4|8|0|0|5
150802087|2|5|0|7|3
150802088|2|0|6|3|4
150802089|5|3|0|9|3
150802090|9|7|5|1|0
150802091|9|3|1|8|8
150802092|7|0|3|5|9
150802093|7|5|4|8|7
150802094|0|1|6|3|1
150802095|8|7|1|0|1
150802096|8|1|0|3|5
150802097|3|5|0|5|4
150802098|7|9|6|1|5
150802101|3|1|2|6|9
150802102|5|1|1|0|7
150802103|1|8|0|5|5
150802104|0|9|3|2|7
150802105|0|4|0|3|2
150802106|4|4|5|0|2
150802107|1|8|6|0|3
150802108|3|3|8|8|4
150802109|0|5|5|6|1
150802110|2|6|9|6|5
150802111|0|2|8|3|7
150802112|7|0|3|6|6
150802113|1|4|7|7|0
150802114|4|5|0|2|9
150802115|1|3|1|4|2
150802116|6|6|7|7|0
150802117|6|7|3|4|1
150802118|9|7|5|0|4
150802119|8|8|1|4|3
150802120|3|2|9|3|5
150803001|0|5|7|5|2
150803002|7|6|6|3|2
150803003|5|3|2|9|9
150803004|5|8|7|4|0
150803005|6|7|1|2|4
150803006|6|0|7|0|2
150803007|7|0|7|2|5
150803008|5|7|2|2|3
150803009|1|8|1|0|5
150803010|3|5|6|9|4
150803011|7|3|6|4|8
150803012|9|1|1|3|2
150803013|2|1|7|7|4
150803014|1|1|5|1|9
150803015|6|2|6|0|1
150803016|9|6|8|8|9
150803017|3|1|2|6|8
150803018|4|9|5|7|4
150803019|4|5|0|5|8
150803020|9|2|9|1|0
150803021|0|9|5|3|2
150803022|6|9|6|1|0
150803023|8|0|1|4|6
150803024|0|7|3|5|7
150803025|7|2|7|4|3
150803026|8|5|9|2|5
150803027|3|5|1|6|7
150803028|5|8|5|0|0
150803029|1|2|5|2|2
150803030|8|4|8|3|6
150803031|4|2|4|5|8
150803032|5|8|9|9|6
150803033|6|2|2|6|4
150803034|5|6|3|5|3
150803035|0|8|8|7|5
150803036|0|8|6|1|4
150803037|4|7|0|1|3
150803038|3|3|2|4|9
150803039|9|3|3|7|4
150803040|6|6|7|4|6
150803041|1|5|3|3|8
150803042|9|2|9|7|0
150803043|1|7|1|4|7
150803044|7|8|2|6|8
150803045|7|8|5|1|5
150803046|5|5|1|7|7
150803047|0|9|0|4|2
150803048|1|1|6|3|0
150803049|3|3|4|6|2
150803050|6|0|4|4|8
150803051|2|6|8|7|7
150803052|9|5|4|7|3
150803053|9|6|6|6|2
150803054|6|2|0|6|9
150803055|3|2|9|9|2
150803056|4|0|9|9|0
150803057|5|6|1|9|5
150803058|3|7|4|9|8
150803059|7|0|0|9|3
150803060|0|5|9|0|1
150803061|7|9|8|9|0
150803062|8|4|4|3|9
150803063|3|5|7|7|6
150803064|8|0|4|5|6
150803065|1|4|2|5|2
150803066|4|5|5|6|8
150803067|0|3|3|3|7
150803068|6|2|7|5|9
150803069|4|7|2|8|2
150803070|6|7|8|0|5
150803071|5|0|9|2|0
150803072|9|3|4|0|5
150803073|7|0|3|5|3
150803074|3|5|2|5|7
150803075|7|1|7|0|0
150803076|3|5|8|2|6
150803077|4|6|1|5|8
150803078|6|5|8|8|6
150803079|6|0|5|9|3
150803080|2|7|9|5|2
150803081|7|6|9|9|2
150803082|2|7|2|1|2
150803083|5|6|3|4|9
150803084|4|1|0|3|5
150803085|0|6|4|0|1
150803086|5|5|6|0|4
150803087|6|9|0|8|2
150803088|0|6|0|1|4
150803089|5|4|2|4|2
150803090|2|6|3|3|8
150803091|1|2|7|4|9
150803092|2|0|2|6|6
150803093|1|2|2|7|4
150803094|7|2|4|3|5
150803095|1|8|7|3|3
150803096|6|9|3|3|4
150803097|8|0|6|0|4
150803098|5|3|5|4|1
150803100|1|0|9|5|1
150803101|6|7|8|7|2
150803102|9|4|7|3|4
150803103|2|0|1|0|8
150803104|0|0|0|8|8
150803105|4|1|4|8|1
150803106|9|0|7|0|7
150803107|2|4|2|3|6
150803108|6|6|6|2|1
150803109|1|0|9|6|1
150803110|1|3|4|4|9
150803111|3|0|1|9|8
150803112|2|5|5|3|2
150803113|4|8|8|9|9
150803114|2|7|6|2|8
150803115|1|1|0|0|0
150803116|3|4|0|8|8
150803117|7|1|7|1|2
150803118|5|1|3|1|6
150803119|3|2|3|0|2
150803120|4|0|1|0|4
150804001|7|5|7|6|8
150804002|1|2|9|5|0
150804003|6|2|1|4|6
150804004|3|1|4|7|0
150804005|4|6|6|1|8
150804006|3|8|0|3|7
150804007|1|6|8|2|4
150804008|3|5|0|8|0
150804009|0|8|2|4|9
150804010|4|5|7|7|8
150804011|7|5|0|3|2
150804012|9|2|7|3|9
150804013|4|3|2|6|5
150804014|1|6|7|6|2
150804015|0|1|7|4|2
150804016|0|0|7|1|7
150804017|5|3|2|7|0
150804018|2|4|8|7|6
150804019|2|8|6|3|0
150804020|2|0|3|6|2
150804021|7|4|7|2|2
150804022|6|5|6|9|5
150804023|0|9|5|2|7
150804024|1|8|7|6|9
150804025|7|5|3|1|2
150804026|4|5|8|1|2
150804027|7|8|0|0|8
150804028|5|6|2|4|3
150804029|2|0|6|2|3
150804030|4|3|1|9|5
150804031|0|4|9|5|3
150804032|9|2|9|4|6
150804033|2|5|0|4|2
150804034|1|6|0|6|2
150804035|0|3|4|9|7
150804036|1|1|8|5|1
150804037|4|7|2|9|9
150804038|5|4|7|7|2
150804039|8|8|3|9|4
150804040|3|7|6|8|8
150804041|3|3|8|7|6
150804042|3|3|7|5|5
150804043|0|3|4|0|0
150804044|9|7|6|5|1
150804045|9|6|9|8|2
150804046|2|0|1|4|7
150804047|6|1|1|1|4
150804048|7|0|0|3|5
150804049|0|2|2|2|0
150804050|3|9|6|3|0
150804051|1|8|6|6|1
150804052|6|0|1|7|4
150804053|3|2|9|9|9
150804054|1|7|3|5|4
150804055|5|8|8|3|3
150804056|8|4|5|7|9
150804057|3|0|0|2|9
150804058|8|7|9|8|4
150804059|7|8|1|6|8
150804060|6|4|3|1|8
150804061|6|0|2|6|9
150804062|8|9|3|9|8
150804063|7|4|1|7|4
150804064|7|1|1|9|9
150804065|9|5|7|1|9
150804066|2|9|8|7|6
150804067|0|7|6|3|4
150804068|0|8|9|9|1
150804069|1|7|8|4|1
150804070|1|6|5|8|4
150804071|4|4|1|5|6
150804072|4|4|5|1|8
150804073|0|4|3|7|2
150804074|3|4|5|2|7
150804075|4|3|9|4|8
150804076|1|3|1|8|6
150804077|5|2|5|7|5
150804078|2|6|4|2|2
150804079|6|9|1|1|4
150804080|1|5|4|9|8
150804081|5|7|3|8|5
150804082|9|2|6|9|5
150804083|8|2|6|1|6
150804084|6|8|5|8|8
150804085|9|2|9|6|6
150804086|2|6|5|6|4
150804087|8|8|9|4|5
150804088|5|2|9|3|1
150804089|7|8|2|5|9
150804090|8|0|6|2|5
150804091|5|6|4|7|8
150804092|3|1|2|9|8
150804093|3|6|3|0|3
150804094|3|9|2|3|1
150804095|6|6|3|3|6
150804096|2|2|2|1|8
150804097|1|3|5|7|4
150804098|6|7|2|4|4
150804099|4|1|3|1|9
150804100|3|3|5|8|0
150804101|1|9|7|9|1
150804102|8|0|9|6|9
150804103|2|3|5|3|6
150804104|1|5|5|3|2
150804105|7|2|8|6|9
150804106|9|4|7|0|7
150804107|4|4|1|5|0
150804108|9|3|4|3|1
150804109|9|4|2|6|7
150804110|4|4|7|4|1
150804111|2|6|8|6|1
150804112|3|6|8|2|9
150804113|8|1|8|6|5
150804114|7|7|4|5|0
150804115|4|8|0|9|1
150804116|1|9|8|0|5
150804117|1|1|7|4|6
150804118|7|3|6|9|3
150804119|8|2|8|0|5
150804120|4|5|1|0|5
150805001|4|2|2|3|2
150805002|0|4|5|1|3
150805003|3|2|8|8|6
150805004|2|5|2|8|4
150805005|4|0|3|1|2
150805006|8|1|0|7|2
150805007|5|7|5|9|6
150805008|6|7|0|9|5
150805009|4|0|8|4|7
150805010|9|1|4|9|7
150805011|4|0|7|9|4
150805012|8|2|8|0|5
150805013|4|8|7|9|3
150805014|3|4|4|9|0
150805015|3|9|3|3|7
150805016|8|1|6|5|9
150805017|2|8|1|1|0
150805018|7|1|0|9|1
150805019|5|8|2|8|4
150805020|1|3|1|3|6
150805021|7|2|4|8|1
150805022|6|8|9|6|8
150805023|8|1|1|4|3
150805024|1|5|5|6|3
150805025|1|9|3|7|1
150805026|5|0|0|6|5
150805027|5|7|5|9|1
150805028|4|0|8|2|1
150805029|8|0|4|8|5
150805030|3|5|2|6|1
150805031|2|9|7|9|6
150805032|2|1|4|5|8
150805033|9|1|9|9|9
150805034|1|1|7|4|2
150805035|6|3|7|2|6
150805036|6|6|7|9|4
150805037|0|5|5|7|1
150805038|9|6|8|2|3
150805039|1|5|5|5|2
150805040|5|8|1|4|1
150805041|0|7|5|5|8
150805042|7|3|5|2|4
150805043|8|1|7|6|3
150805044|0|9|1|0|8
150805045|0|1|0|1|9
150805046|2|5|9|3|1
150805047|0|6|9|2|9
150805048|5|7|3|0|1
150805049|3|9|5|9|5
150805050|6|6|5|1|7
150805051|5|1|7|9|1
150805052|2|5|1|9|0
150805053|1|3|7|5|5
150805054|8|2|0|4|9
150805055|1|6|3|3|7
150805056|8|1|5|6|4
150805057|8|2|9|4|5
150805058|9|3|9|1|0
150805059|4|9|8|4|4
150805060|6|1|2|8|3
150805061|2|0|4|0|1
150805062|6|3|1|2|3
150805063|2|5|6|7|6
150805064|5|5|1|9|4
150805065|5|2|8|6|0
150805066|6|5|2|4|9
150805067|7|8|7|7|6
150805068|0|8|5|0|4
150805069|3|1|0|9|5
150805070|4|6|4|6|6
150805071|3|0|9|4|4
150805072|1|8|2|2|8
150805073|4|3|7|6|3
150805074|0|6|3|5|8
150805075|5|9|4|2|5
150805076|4|0|1|4|2
150805077|3|8|1|9|2
150805078|3|5|3|8|5
150805079|4|6|6|3|1
150805080|9|6|0|6|5
150805081|7|7|6|2|8
150805082|7|0|8|2|4
150805083|8|7|1|5|1
150805084|3|7|6|9|3
150805085|1|1|8|1|6
150805086|6|1|6|3|5
150805087|7|9|6|6|5
150805088|7|1|5|2|4
150805089|9|6|5|9|5
150805090|8|9|7|0|8
150805091|6|0|1|3|7
150805092|6|1|1|7|0
150805093|1|1|2|6|5
150805094|0|0|9|6|9
150805095|4|1|2|4|2
150805096|4|2|2|2|6
150805097|8|3|8|0|4
150805098|7|6|3|9|7
150805099|9|3|2|7|5
150805100|9|6|1|5|9
150805101|6|0|7|2|7
150805102|1|8|3|0|4
150805103|9|5|5|0|0
150805104|5|9|0|6|6
150805105|1|5|5|3|3
150805106|6|0|6|0|7
150805107|3|3|2|3|7
150805108|6|6|6|7|2
150805109|6|7|2|8|6
150805110|4|3|9|5|5
150805111|3|5|9|3|3
150805112|4|5|0|9|1
150805113|7|5|2|3|1
150805114|4|7|2|8|5
150805115|3|8|7|5|4
150805116|6|1|8|4|9
150805117|3|3|4|2|0
150805118|5|9|0|7|9
150805119|5|2|7|1|0
150805120|7|2|6|0|3
150806001|2|7|5|3|2
150806002|0|7|4|0|3
150806003|7|9|1|2|2
150806004|3|5|2|0|7
150806005|7|5|5|9|2
150806006|6|4|3|0|4
150806007|0|1|3|0|6
150806008|7|7|2|4|5
150806009|8|9|1|8|1
150806010|3|1|9|0|6
150806011|4|7|7|6|3
150806012|1|5|0|9|9
150806013|8|3|7|9|1
150806014|2|4|7|2|0
150806015|9|4|9|9|6
150806017|1|4|4|1|0
150806018|4|7|0|3|5
150806019|8|0|7|2|1
150806020|7|0|7|6|7
150806021|1|4|9|0|3
150806022|8|6|1|3|7
150806023|7|6|4|0|8
150806024|7|9|5|0|2
150806025|7|9|0|5|2
150806026|7|1|5|5|2
150806027|9|2|7|7|8
150806028|1|8|1|2|3
150806029|9|0|0|0|9
150806030|7|9|9|1|0
150806031|4|2|1|6|0
150806032|4|2|7|9|2
150806033|0|4|5|9|1
150806034|3|0|5|7|8
150806035|0|0|8|2|7
150806036|7|6|8|2|7
150806037|6|4|3|5|1
150806038|7|4|6|5|4
150806039|5|9|1|8|7
150806040|4|9|1|3|5
150806041|9|1|3|6|6
150806042|2|5|2|8|4
150806043|3|7|8|6|4
150806044|4|2|6|1|1
150806045|3|4|1|7|1
150806046|5|8|4|9|7
150806047|9|6|2|8|4
150806048|7|8|4|5|8
150806049|2|4|2|3|6
150806050|9|1|2|7|9
150806051|1|9|9|5|3
150806052|8|7|7|4|4
150806053|5|5|5|1|4
150806054|3|5|9|0|2
150806055|4|7|3|8|4
150806056|6|9|5|9|4
150806057|0|7|3|4|7
150806058|3|5|2|8|5
150806059|7|8|5|1|8
150806060|6|9|0|8|9
150806061|1|6|5|0|6
150806062|0|7|5|0|6
150806063|5|3|5|9|8
150806064|4|6|3|1|3
150806065|5|9|5|1|0
150806066|6|0|1|9|6
150806067|3|1|7|9|4
150806068|5|9|2|6|4
150806069|9|9|5|4|0
150806070|4|5|1|9|3
150806071|2|5|9|3|9
150806072|8|3|7|6|0
150806073|8|6|3|3|4
150806074|9|9|4|7|3
150806075|7|2|5|2|5
150806076|8|1|0|3|0
150806077|0|7|2|6|7
150806078|0|1|8|2|8
150806079|6|2|8|3|5
150806080|2|5|3|6|3
150806081|1|0|8|3|3
150806082|0|3|6|9|9
150806083|7|6|1|7|9
150806084|4|1|4|3|3
150806085|2|6|8|9|5
150806086|3|4|9|1|7
150806087|8|3|1|3|7
150806088|2|3|8|0|4
150806089|5|3|0|4|1
150806090|5|8|9|4|4
150806091|7|3|2|0|0
150806092|6|7|0|9|6
150806093|6|3|7|3|6
150806094|8|7|1|3|7
150806095|8|4|8|5|2
150806096|9|6|5|3|0
150806097|3|7|3|4|4
150806098|4|0|2|1|3
150806099|3|8|4|8|8
150806100|5|7|2|1|8
150806101|8|2|2|2|4
150806102|2|8|5|0|2
150806103|6|9|1|5|5
150806104|5|9|7|7|3
150806105|9|4|4|3|4
150806106|1|9|8|6|5
150806107|1|2|5|3|2
150806108|2|7|7|7|4
150806109|3|2|1|9|2
150806110|2|1|4|9|7
150806111|4|0|2|2|3
150806112|1|8|6|2|0
150806113|9|6|0|3|5
150806114|3|2|3|1|9
150806115|3|1|3|8|2
150806116|0|8|4|3|1
150806117|1|7|2|0|7
150806118|3|5|8|0|6
150806119|0|8|7|3|2
150806120|0|1|4|9|0
150807001|8|3|1|1|4
150807002|6|8|6|5|9
150807003|4|4|7|5|3
150807004|3|8|6|3|8
150807005|3|3|6|9|3
150807006|5|6|8|5|2
150807007|1|0|3|9|7
150807008|4|9|2|8|7
150807009|1|3|1|0|8
150807010|6|2|1|0|3
150807011|2|8|5|0|4
150807012|1|7|7|7|4
150807013|2|2|0|9|3
150807014|9|7|3|0|8
150807015|4|4|9|9|9
150807016|8|8|4|5|9
150807017|1|2|1|2|1
150807018|6|6|6|2|4
150807019|9|4|5|3|2
150807020|8|0|2|4|1
150807021|3|6|9|4|2
150807022|2|5|8|9|5
150807023|1|3|5|1|3
150807024|4|0|4|7|2
150807025|8|6|9|3|7
150807026|1|5|2|4|6
150807027|9|3|3|0|1
150807028|6|6|3|1|7
150807029|3|3|1|3|1
150807030|7|9|7|8|4
150807031|6|7|0|0|8
150807032|9|9|4|1|4
150807033|8|6|4|0|5
150807034|2|0|7|9|0
150807035|6|3|7|1|7
150807036|7|2|9|8|0
150807037|9|8|4|3|9
150807038|6|0|6|1|4
150807039|6|9|6|0|9
150807040|9|6|4|1|5
150807041|8|6|6|5|3
150807042|2|7|3|4|2
150807043|8|9|4|0|9
150807044|8|1|7|1|0
150807045|7|5|3|5|2
150807046|5|3|4|7|5
150807047|6|4|1|0|4
150807048|5|6|7|0|0
150807049|6|1|9|4|4
150807050|7|6|8|6|7
150807051|0|7|5|5|3
150807052|1|7|4|3|1
150807053|7|3|2|2|5
150807054|7|6|6|9|3
150807055|9|2|1|1|9
150807056|0|1|7|2|3
150807057|9|4|5|4|2
150807058|9|3|4|8|4
150807059|7|8|9|9|9
150807060|3|0|2|9|0
150807061|2|7|0|6|7
150807062|8|2|7|9|3
150807063|7|3|8|4|0
150807064|2|7|2|5|8
150807065|4|5|2|9|7
150807066|6|3|7|4|6
150807067|7|4|6|7|1
150807068|1|5|5|3|0
150807069|3|2|7|6|2
150807070|4|2|8|8|5
150807071|3|5|4|1|9
150807072|3|1|4|7|3
150807073|3|6|8|1|3
150807074|9|0|6|0|8
150807075|9|4|2|9|3
150807076|8|6|5|4|6
150807077|0|2|2|5|8
150807078|9|2|8|9|5
150807079|1|5|1|4|6
150807080|7|1|8|6|0
150807081|7|4|8|7|5
150807082|5|8|1|4|6
150807083|4|4|2|1|4
150807084|5|9|0|2|2
150807085|8|8|2|6|8
150807086|2|6|6|2|8
150807087|1|2|3|4|4
150807088|3|5|8|3|1
150807089|6|4|9|4|2
150807090|3|3|8|1|6
150807091|1|2|3|7|0
150807092|4|2|6|3|0
150807093|8|0|1|1|7
150807094|4|6|4|6|2
150807095|3|1|9|5|0
150807096|4|6|0|3|8
150807097|4|7|4|7|8
150807098|7|7|8|6|8
150807099|0|5|7|7|4
150807100|9|9|5|4|7
150807101|3|7|9|5|9
150807102|9|9|3|8|0
150807105|2|6|3|9|3
150807106|5|4|1|0|6
150807107|7|8|2|1|3
150807108|5|7|5|0|6
150807109|0|9|0|4|4
150807111|8|5|8|9|2
150807112|2|5|4|1|7
150807113|4|0|1|9|6
150807114|4|4|4|9|2
150807115|0|3|7|0|0
150807116|1|2|1|7|7
150807117|5|4|3|8|4
150807118|8|6|8|6|0
150807119|3|6|4|5|9
150807120|8|9|6|4|2
150808001|6|6|9|9|9
150808002|4|5|2|9|5
150808003|8|6|0|1|5
150808004|5|9|3|7|2
150808005|6|1|8|2|0
150808006|8|3|4|3|1
150808007|1|1|5|1|4
150808008|2|1|7|7|3
150808009|7|9|9|2|5
150808010|4|6|7|8|4
150808011|9|1|5|1|5
150808012|8|1|7|7|4
150808013|3|4|9|7|2
150808014|1|6|5|3|3
150808015|3|0|2|7|8
150808016|0|7|5|7|9
150808017|8|4|8|7|0
150808018|4|2|9|1|8
150808019|0|2|7|1|5
150808020|7|7|0|7|7
150808021|7|4|6|4|2
150808022|0|7|5|3|2
150808023|4|2|7|6|5
150808024|7|3|3|7|9
150808025|6|7|4|2|7
150808026|2|9|9|3|5
150808027|3|6|0|7|8
150808028|4|1|0|9|8
150808029|1|0|6|4|2
150808030|5|4|0|6|0
150808031|3|8|9|0|9
150808032|2|3|5|0|6
150808033|0|3|3|8|4
150808034|6|8|8|1|5
150808035|8|9|0|9|1
150808036|4|3|1|0|1
150808037|1|8|0|2|3
150808038|4|2|7|2|2
150808039|4|4|6|0|5
150808040|5|6|7|2|3
150808041|2|1|9|6|6
150808042|7|7|3|7|2
150808043|8|0|1|6|3
150808044|3|4|4|9|7
150808045|4|1|0|0|9
150808046|7|6|0|5|9
150808047|7|1|6|4|4
150808048|8|1|0|5|0
150808049|8|0|2|3|3
150808050|2|2|8|0|8
150808051|6|4|4|0|0
150808052|2|6|7|9|4
150808053|3|4|8|4|8
150808054|0|5|7|1|0
150808055|3|0|5|5|8
150808056|4|7|7|9|0
150808057|8|3|1|4|0
150808058|9|2|9|5|6
150808059|6|4|4|6|1
150808060|3|4|8|5|6
150808061|1|2|3|5|3
150808062|4|0|4|9|9
150808063|8|7|8|8|7
150808064|5|8|6|4|9
150808065|9|4|2|3|3
150808066|4|4|4|3|4
150808067|3|1|5|0|9
150808068|9|6|6|9|6
150808069|2|6|2|0|6
150808070|3|6|8|7|6
150808071|2|0|0|7|2
150808072|2|0|7|8|1
150808073|6|0|0|2|2
150808074|4|9|1|8|9
150808075|4|7|6|0|7
150808076|9|2|9|3|9
150808077|9|5|6|0|4
150808078|2|3|0|6|3
150808079|5|2|8|9|3
150808080|7|7|3|8|4
150808081|3|8|0|9|9
150808082|7|8|6|7|7
150808083|8|5|6|7|3
150808084|4|3|4|1|0
150808085|7|8|5|9|5
150808086|3|4|7|7|3
150808087|9|1|9|0|7
150808088|1|5|5|7|9
150808089|0|4|8|9|9
150808090|5|9|7|4|9
150808091|6|5|8|6|6
150808092|5|4|1|0|6
150808093|2|0|2|5|3
150808094|9|2|7|9|3
150808095|5|5|9|2|3
150808096|7|7|9|3|8
150808097|3|6|4|1|1
150808098|5|3|8|5|0
150808099|8|0|8|8|8
150808100|5|3|1|1|0
150808101|8|0|0|8|9
150808102|7|9|5|1|2
150808103|1|2|6|0|3
150808104|1|8|6|8|2
150808105|9|2|9|4|4
150808106|4|3|6|1|4
150808107|7|5|0|1|5
150808108|0|9|2|4|5
150808109|7|8|7|3|8
150808110|5|7|6|9|7
150808111|8|5|0|9|1
150808112|4|5|8|4|9
150808113|0|8|4|9|1
150808114|3|8|0|9|7
150808115|6|9|9|1|1
150808116|1|8|8|7|9
150808117|8|1|2|8|5
150808118|5|7|8|5|4
150808119|4|7|3|5|1
150808120|9|0|2|1|0
150809001|3|7|0|9|1
150809002|5|4|0|5|8
150809003|5|1|0|9|8
150809004|2|3|0|7|8
150809005|9|7|6|6|2
150809006|2|8|9|0|5
150809007|2|7|1|5|7
150809008|4|2|3|6|1
150809009|5|7|6|8|4
150809010|0|7|6|6|7
150809011|3|9|7|7|2
150809012|0|7|6|4|7
150809013|4|2|1|2|5
150809014|2|7|5|0|1
150809015|7|8|4|9|3
150809016|7|3|7|5|0
150809017|1|3|3|6|5
150809018|6|7|9|4|8
150809019|6|6|8|9|9
150809020|4|7|4|0|7
150809022|1|8|2|7|7
150809023|7|0|0|5|6
150809024|4|6|9|6|6
150809025|6|1|8|7|3
150809026|4|9|0|3|8
150809027|8|4|2|1|9
150809028|4|1|9|3|8
150809029|4|9|8|2|9
150809030|0|6|4|8|8
150809031|1|8|7|6|9
150809032|8|8|8|8|5
150809033|0|1|3|5|0
150809034|2|7|6|0|2
150809035|6|9|1|6|1
150809036|0|1|9|3|0
150809037|8|5|3|7|3
150809038|3|7|0|2|8
150809039|6|1|3|0|0
150809040|6|9|3|6|0
150809041|9|6|7|9|5
150809042|0|9|8|0|9
150809043|7|4|6|5|3
150809044|9|8|7|6|1
150809045|4|7|5|1|3
150809046|7|5|2|2|7
150809047|3|7|2|5|2
150809048|4|2|4|7|9
150809049|2|6|0|7|4
150809050|4|2|7|9|4
150809051|4|2|2|2|1
150809052|0|8|4|6|0
150809053|0|5|0|4|3
150809054|5|5|7|8|6
150809055|7|0|8|7|3
150809056|1|5|0|5|1
150809057|6|3|9|3|5
150809058|6|9|7|0|4
150809059|9|1|0|3|9
150809060|4|2|8|6|8
150809061|4|3|4|5|8
150809062|0|0|5|7|2
150809063|0|2|6|4|6
150809064|3|7|8|9|4
